OIL;Abbreviation;HANSEN_P;HANSEN_H;HANSEN_D;HildebrandSolubParameter;HANSEN_V;Molec Vol [cm3.mol-1];REFERENCE;
sesame oil;OID052;3.62E+00;3.64E+00;1.62E+01;1.70E+01;1.66E+01;9.343E+02;ISBN: 978-1-893997-99-8;
soybean oil;OID053;4.10E+00;2.50E+00;1.60E+01;1.67E+01;1.65E+01;9.467E+02;FCF-USP;
soybean oil;OID054;2.06E+00;2.64E+00;1.65E+01;1.69E+01;1.66E+01;;10.1002/pen.25443;
soybean oil;OID055;1.50E+00;4.60E+00;1.54E+01;1.61E+01;1.55E+01;;10.1002/pen.25443;
soybean oil;OID056;2.00E+00;2.70E+00;1.65E+01;1.68E+01;1.66E+01;;10.1002/pen.25443;
sunflower oil;OID057;3.87E+00;3.06E+00;1.61E+01;1.68E+01;1.66E+01;9.414E+02;10.1007/s10973-011-2132-2;
sunflower oil;OID058;4.14E+00;1.92E+00;1.60E+01;1.67E+01;1.65E+01;9.479E+02;10.1007/s11746-003-0714-0;
sunflower oil;OID059;1.50E+00;4.70E+00;1.60E+01;1.67E+01;1.61E+01;;10.1039/c4gc00052h;
sunflower oil;OID060;2.05E+00;2.66E+00;1.65E+01;1.69E+01;1.67E+01;;10.1002/pen.25443;
sunflower oil;OID061;2.05E+00;2.65E+00;1.65E+01;1.69E+01;1.67E+01;;10.1002/pen.25443;
sunflower oil;OID062;1.50E+00;4.70E+00;1.66E+01;1.73E+01;1.67E+01;;10.1002/pen.25443;
sweet almond oil;OID063;3.27E+00;4.12E+00;1.63E+01;1.71E+01;1.66E+01;9.515E+02;ISBN: 978-1-893997-99-8;
sweet almond oil;OID064;3.90E+00;2.95E+00;1.60E+01;1.68E+01;1.65E+01;9.572E+02;ISBN: 978-1-893997-99-8;
triolein oil;OID065;3.80E+00;3.30E+00;1.60E+01;1.68E+01;1.64E+01;9.673E+02;10.1002/aocs.12050;
used frying oil;OID066;3.77E+00;6.87E+00;1.54E+01;1.72E+01;1.58E+01;;10.1007/s11746-014-2575-2;
vegetable oil;OID067;1.50E+00;4.70E+00;1.60E+01;1.67E+01;1.61E+01;9.061E+02;10.1016/j.carbpol.2015.08.050;
